"","geometry"
"730",c(-1.0534, -81.092)
"731",c(-3.9498, -81.1356)
"732",c(-1.1323, -81.2396)
"733",c(-3.2405, -80.2741)
"734",c(-0.8249, -80.8012)
"735",c(-3.9748, -81.1741)
"736",c(-0.8056, -80.79)
"737",c(-0.4512, -80.6582)
"738",c(-0.5614, -80.7092)
"739",c(-0.4306, -80.5946)
"740",c(-1.5503, -81.3516)
"741",c(-1.3571, -81.1882)
"742",c(-1.4887, -81.2548)
"743",c(-2.6472, -81.1173)
"744",c(-2.0737, -81.1797)
"745",c(-0.4344, -82.0102)
"746",c(-0.5591, -81.8464)
"747",c(-1.0367, -81.5727)
"748",c(-0.236, -82.1768)
"749",c(-1.1314, -81.6804)
"750",c(-1.0381, -81.1442)
"751",c(-1.1252, -81.6672)
"752",c(-2.0486, -81.0707)
"753",c(-2.1765, -81.0833)
"754",c(-1.7775, -81.4899)
"755",c(-2.0632, -83.2299)
"756",c(-2.8089, -81.283)
"757",c(-2.0686, -83.2106)
"758",c(-1.5248, -81.1608)
"759",c(-2.2243, -83.0101)
"760",c(-1.9846, -81.565)
"761",c(-1.1739, -81.7293)
"762",c(-1.091, -81.5518)
"763",c(-1.5628, -81.6891)
"764",c(-1.406, -82.0479)
"765",c(-2.0509, -81.8656)
"766",c(-3.9679, -81.3181)
"767",c(-1.8685, -83.7827)
"768",c(-3.2999, -81.089)
"769",c(-3.0638, -81.2324)
"770",c(-2.006, -83.4864)
"771",c(-1.7389, -83.9989)
"772",c(-1.3784, -81.518)
"773",c(-3.0412, -81.1578)
"774",c(-1.5598, -81.3964)
"775",c(-2.5162, -81.3201)
"776",c(-0.8178, -81.7017)
"777",c(-2.3342, -81.313)
"778",c(-1.2377, -81.6352)
"779",c(-2.3502, -81.4635)
"780",c(-2.4505, -81.5508)
"781",c(-0.3371, -81.9854)
"782",c(-0.7842, -81.7064)
"783",c(-1.6142, -81.6377)
"784",c(-1.7332, -81.8428)
"785",c(-1.9398, -81.6487)
"786",c(-2.3734, -81.1267)
"787",c(-1.5722, -82.1489)
"788",c(-2.9665, -81.0128)
"789",c(-2.0968, -81.6735)
"790",c(-3.0621, -81.1606)
"791",c(-1.9801, -81.7199)
