"","latitude","longitde","value_per_area","units_1"
"491",-12.75,105.05,"         11000.","mg/m2"
"492",-12.75,105.05,"         10600.","mg/m2"
"493",-14,105.15,"       7600.000","mg/m2"
"494",-14,105.15,"       9000.000","mg/m2"
"495",-15.25,105.083,"       6000.000","mg/m2"
"496",-15.25,105.083,"       5600.000","mg/m2"
"497",-16.5,105.1,"       5200.000","mg/m2"
"498",-16.5,105.1,"       5200.000","mg/m2"
"499",-17.75,105.05,"       3400.000","mg/m2"
"500",-17.75,105.05,"       4200.000","mg/m2"
"501",-21.117,104.967,"       3800.000","mg/m2"
"502",-21.95,104.95,"       5200.000","mg/m2"
"503",-21.95,104.95,"       4800.000","mg/m2"
"504",-24,105,"       4800.000","mg/m2"
"505",-24,105,"       5000.000","mg/m2"
"506",-27,105.033,"       2200.000","mg/m2"
"507",-27,105.033,"       2400.000","mg/m2"
"508",-32,112,"       2800.000","mg/m2"
"509",-32,112,"       5600.000","mg/m2"
"510",-33.65,111.85,"       4568.000","mg/m2"
"511",-32,111.85,"       1300.000","mg/m2"
"512",-32,111.85,"         270.00","mg/m2"
"513",-32,111.85,"         230.00","mg/m2"
"514",-32,111.85,"        100.000","mg/m2"
"515",-33.4,110,"        530.000","mg/m2"
"516",-33.4,110,"        140.000","mg/m2"
"517",-33.4,110,"       1624.000","mg/m2"
"518",-33.4,110,"       3902.000","mg/m2"
"519",-34.8,110,"       412.0000","mg/m2"
"520",-34.8,110,"       472.0000","mg/m2"
"521",-34.8,110,"        180.000","mg/m2"
"522",-34.8,110,"          88.00","mg/m2"
"523",-34.8,110,"        270.000","mg/m2"
"524",-34.8,110,"        300.000","mg/m2"
"525",-36.2,110,"       2090.000","mg/m2"
"526",-36.2,110,"       1616.000","mg/m2"
"527",-36.2,110,"        460.000","mg/m2"
"528",-36.2,110,"        444.000","mg/m2"
"529",-36.2,110,"        340.000","mg/m2"
"530",-36.2,110,"        520.000","mg/m2"
"531",-37.6,110,"       650.0000","mg/m2"
"532",-37.6,110,"       1248.000","mg/m2"
"533",-37.6,110,"        450.000","mg/m2"
"534",-37.6,110,"        270.000","mg/m2"
"535",-37.6,110,"        500.000","mg/m2"
"536",-37.6,110,"       1890.000","mg/m2"
"537",-39,110.033,"       890.0000","mg/m2"
"538",-40.4,110.017,"       1156.000","mg/m2"
"539",-41.8,110,"       2210.000","mg/m2"
"540",-41.8,110,"       1556.000","mg/m2"
"541",-45.3,108.5,"         10.000","mg/m2"
"542",-45.3,108.5,"         30.000","mg/m2"
"543",-45.3,108.5,"        270.000","mg/m2"
"544",-45.3,108.5,"        720.000","mg/m2"
"545",-44.6,110,"        330.000","mg/m2"
"546",-44.6,110,"        480.000","mg/m2"
"547",-44.6,110,"        405.000","mg/m2"
"548",-44.6,110,"       1100.000","mg/m2"
"549",-43.2,110,"        200.000","mg/m2"
"550",-43.2,110,"         75.000","mg/m2"
"551",-43.2,110,"       1140.000","mg/m2"
"552",-43.2,110,"       3360.000","mg/m2"
"553",-41.783,109.967,"         40.000","mg/m2"
"554",-40.4,110,"        150.000","mg/m2"
"555",-31.95,111.833,"       2470.000","mg/m2"
"556",-31.95,111.833,"       1680.000","mg/m2"
"557",-31.95,111.833,"       1100.000","mg/m2"
"558",-31.95,111.833,"       1995.000","mg/m2"
"559",-31.95,111.833,"        960.000","mg/m2"
"560",-32,110,"       700.0000","mg/m2"
"561",-32,110,"       780.0000","mg/m2"
"562",-30.5,110,"       1670.000","mg/m2"
"563",-30.5,110,"       1160.000","mg/m2"
"564",-30.5,110,"        890.000","mg/m2"
"565",-30.5,110,"        420.000","mg/m2"
"566",-30.5,110,"       6490.000","mg/m2"
"567",-30.5,110,"       3800.000","mg/m2"
"568",-29.05,110,"       830.0000","mg/m2"
"569",-29.05,110,"       730.0000","mg/m2"
"570",-27.5,110,"       4010.000","mg/m2"
